1|1075|Y|N|N|BUSGUEST|N|||2020-03-03 22:56:00
2|1178|Y|N|N|EMPLOYEE|N|||2020-03-03 22:56:00
3|1179|Y|N|N|SPOUSE|N|||2020-03-03 22:56:00
2000|1020|N|N|N|NOSHOWS|Y|||2020-03-03 22:56:00
2001|1148|N|N|N|SYSEMP|N|||2020-09-22 00:33:00
2002|1020|N|N|N|UNDEF|Y|||2020-03-03 22:56:00
2003|1103|Y|N|N|HCP|N|||2020-03-03 22:56:00
