823|2069|2215|382|1|PROC|23030204|47.39|47.39|47.39|47.39|47.39|47.39|47.39|47.39|0|||2017-11-28 07:27:00||47.39
824|2069|2215|382|1|PROC|23030204|44.21|44.21|44.21|44.21|44.21|44.21|44.21|44.21|0|||2017-12-30 13:21:00||44.21
825|2069|2215|382|1|PROC|23030204|81.37|81.37|84.37|84.37|81.37|81.37|84.37|84.37|0|||2017-11-28 07:27:00||81.37
852|2069|2215|382|1|PROC|23030204|176.6|176.6|176.6|176.6|176.6|176.6|176.6|176.6|0|||2017-12-30 13:21:00||176.6
853|2069|2215|382|1|PROC|23030204|59.43|59.43|59.43|59.43|59.43|59.43|59.43|59.43|0|||2017-12-30 13:21:00||59.43
863|2069|2215|382|1|PROC|23030204|88.3|88.3|88.3|88.3|88.3|88.3|88.3|88.3|0|||2017-11-28 10:59:00||88.3
885|2069|2215|382|1|PROC|23030204|58.73|58.73|58.73|58.73|58.73|58.73|58.73|58.73|0|||2017-11-28 06:15:00||58.73
955|2069|2215|382|1|PROC|23030204|101.89|101.89|101.89|101.89|101.89|101.89|101.89|101.89|0|||2017-12-28 03:38:00||101.89
964|2069|2216|382|1|PROC|23030204|93.08|93.08|93.08|93.08|93.08|93.08|93.08|93.08|0|||2018-01-11 08:20:00||93.08
973|2069|2215|382|1|PROC|23030204|171.4|171.4|171.4|171.4|171.4|171.4|171.4|171.4|0|||2017-11-28 05:46:00||171.4
1015|2069|2216|382|1|PROC|23030204|1452.99|1452.99|1452.99|1452.99|1452.99|1452.99|1452.99|1452.99|0|||2017-12-28 03:37:00||1452.99
1027|2069|2216|382|1|PROC|23030204|33.75|33.75|33.75|33.75|33.75|33.75|33.75|33.75|0|||2017-12-28 03:36:00||33.75
1039|2069|2215|382|1|PROC|23030204|101.89|101.89|101.89|101.89|101.89|101.89|101.89|101.89|0|||2018-01-04 09:27:00||101.89
1059|2069|2215|382|1|PROC|23030204|65.74|65.74|65.74|65.74|65.74|65.74|65.74|65.74|0|||2017-12-14 09:23:00||65.74
1119|2069|2215|382|1|PROC|23030204|75.93|75.93|75.93|75.93|75.93|75.93|75.93|75.93|0|||2017-11-30 10:27:00||75.93
1120|2069|2215|382|1|PROC|23030204|118.8|118.8|118.8|118.8|118.8|118.8|118.8|118.8|0|||2017-11-30 10:27:00||118.8
1192|2069|2215|382|1|PROC|23030204|51.28|51.28|51.28|51.28|51.28|51.28|51.28|51.28|0|||2017-12-05 09:21:00||51.28
1193|2069|2215|382|1|PROC|23030204|54.22|54.22|54.22|54.22|54.22|54.22|54.22|54.22|0|||2017-12-05 09:21:00||54.22
1194|2069|2215|382|1|PROC|23030204|81.79|81.79|81.79|81.79|81.79|81.79|81.79|81.79|0|||2017-12-05 09:21:00||81.79
1195|2069|2215|382|1|PROC|23030204|46.95|46.95|46.95|46.95|46.95|46.95|46.95|46.95|0|||2017-12-05 09:21:00||46.95
1382|2069|2217|382|1|USER|23030204|98.16|98.16|98.16|98.16|98.16|98.16|98.16|98.16|0|||2017-12-13 03:02:00||98.16
1388|2069|2215|382|1|PROC|23030204|11.72|11.72|11.72|11.72|11.72|11.72|11.72|11.72|0|||2017-12-13 03:02:00||11.72
1438|2069|2215|382|1|PROC|23030204|176.6|176.6|176.6|176.6|176.6|176.6|176.6|176.6|0|||2018-02-05 06:52:00||176.6
1443|2069|2216|382|1|PROC|23030204|174.36|174.36|174.36|174.36|174.36|174.36|174.36|174.36|0|||2018-03-14 04:19:00||174.36
1454|2069|2215|382|1|PROC|23030204|6.23|6.23|6.23|6.23|6.23|6.23|6.23|6.23|0|||2018-03-14 04:19:00||6.23
