60|2054|2011-06-01 00:00:00|9999-12-31 00:00:00|0.12|Y||2012-03-01 15:25:00|N
61|2055|2011-06-01 00:00:00|9999-12-31 00:00:00|0|Y||2012-03-01 15:25:00|N
62|2056|2011-06-01 00:00:00|9999-12-31 00:00:00|0.15|Y||2013-05-29 09:15:00|N
63|2057|2011-06-01 00:00:00|9999-12-31 00:00:00|0|Y||2013-05-29 09:15:00|N
64|2042|2011-06-01 00:00:00|9999-12-31 00:00:00|0.18|Y||2012-03-01 15:25:00|N
65|2043|2011-06-01 00:00:00|9999-12-31 00:00:00|0|Y||2012-03-01 15:25:00|N
70|2044|2011-06-01 00:00:00|9999-12-31 00:00:00|0.11|Y||2011-11-29 17:15:00|N
71|2045|2011-06-01 00:00:00|9999-12-31 00:00:00|0|Y||2012-07-03 10:16:00|N
72|2046|2011-06-01 00:00:00|9999-12-31 00:00:00|0.13|Y||2011-09-15 16:57:00|N
73|2047|2011-06-01 00:00:00|9999-12-31 00:00:00|0|Y||2012-07-03 10:16:00|N
74|2048|2011-06-01 00:00:00|9999-12-31 00:00:00|0.18|Y||2012-07-03 10:16:00|N
75|2049|2011-06-01 00:00:00|9999-12-31 00:00:00|0|Y||2012-07-03 10:16:00|N
76|2058|2011-01-01 00:00:00|9999-12-31 00:00:00|0.405|Y||2016-05-18 15:48:00|N
77|2059|2011-01-01 00:00:00|9999-12-31 00:00:00|0.242|Y||2016-05-18 15:48:00|N
78|2060|2011-01-01 00:00:00|9999-12-31 00:00:00|0.283|Y||2016-05-18 15:48:00|N
79|2062|2011-01-01 00:00:00|9999-12-31 00:00:00|0.487|Y||2016-05-18 15:49:00|N
80|2063|2011-01-01 00:00:00|9999-12-31 00:00:00|0.274|Y||2016-05-18 15:49:00|N
81|2064|2011-01-01 00:00:00|9999-12-31 00:00:00|0.327|Y||2016-05-18 15:49:00|N
82|2066|2011-01-01 00:00:00|9999-12-31 00:00:00|0.536|Y||2016-05-18 15:49:00|N
83|2067|2011-01-01 00:00:00|9999-12-31 00:00:00|0.3|Y||2016-05-18 15:49:00|N
84|2068|2011-01-01 00:00:00|9999-12-31 00:00:00|0.359|Y||2016-05-18 15:49:00|N
85|2070|2011-01-01 00:00:00|9999-12-31 00:00:00|0.561|Y||2016-05-18 15:50:00|N
86|2071|2011-01-01 00:00:00|9999-12-31 00:00:00|0.316|Y||2016-05-18 15:50:00|N
87|2072|2011-01-01 00:00:00|9999-12-31 00:00:00|0.377|Y||2016-05-18 15:50:00|N
88|2074|2011-01-01 00:00:00|9999-12-31 00:00:00|0.587|Y||2016-05-18 15:51:00|N
89|2075|2011-01-01 00:00:00|9999-12-31 00:00:00|0.332|Y||2016-05-18 15:51:00|N
90|2076|2011-01-01 00:00:00|9999-12-31 00:00:00|0.396|Y||2016-05-18 15:51:00|N
91|2078|2011-01-01 00:00:00|9999-12-31 00:00:00|0.619|Y||2014-02-05 16:00:00|N
92|2079|2011-01-01 00:00:00|9999-12-31 00:00:00|0.352|Y||2014-02-05 16:00:00|N
93|2080|2011-01-01 00:00:00|9999-12-31 00:00:00|0.419|Y||2014-02-05 16:00:00|N
94|2082|2011-01-01 00:00:00|9999-12-31 00:00:00|0.635|Y||2014-02-05 16:00:00|N
95|2083|2011-01-01 00:00:00|9999-12-31 00:00:00|0.368|Y||2014-02-05 16:00:00|N
96|2084|2011-01-01 00:00:00|9999-12-31 00:00:00|0.435|Y||2014-02-05 16:00:00|N
97|2086|2011-01-01 00:00:00|9999-12-31 00:00:00|0.668|Y||2014-02-05 16:01:00|N
98|2087|2011-01-01 00:00:00|9999-12-31 00:00:00|0.391|Y||2014-02-05 16:01:00|N
99|2088|2011-01-01 00:00:00|9999-12-31 00:00:00|0.46|Y||2014-02-05 16:01:00|N
100|2090|2011-01-01 00:00:00|9999-12-31 00:00:00|0.681|Y||2014-02-05 16:01:00|N
101|2091|2011-01-01 00:00:00|9999-12-31 00:00:00|0.41|Y||2014-02-05 16:01:00|N
102|2092|2011-01-01 00:00:00|9999-12-31 00:00:00|0.478|Y||2014-02-05 16:01:00|N
103|2094|2011-01-01 00:00:00|9999-12-31 00:00:00|0.717|Y||2014-02-05 16:01:00|N
104|2095|2011-01-01 00:00:00|9999-12-31 00:00:00|0.426|Y||2014-02-05 16:01:00|N
105|2096|2011-01-01 00:00:00|9999-12-31 00:00:00|0.499|Y||2014-02-05 16:01:00|N
