46|Y|Y|CTP_ADDRESS_VERSION|CUSTOM15|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
47|N|Y|CTP_ALLOCATION|ALLOC_KEY|N|INTEGER||Y||||2005-06-21 15:47:00|
48|N|Y|CTP_ALLOCATION|RLI_KEY|Y|INTEGER||Y||||2005-06-21 15:47:00|
49|N|Y|CTP_ALLOCATION|IS_HIDDEN|N|BOOLEANCHAR|1|Y||N||2005-06-21 15:47:00|
50|N|Y|CTP_ALLOCATION|PERCENTAGE|N|NUMERIC|11|Y||||2007-11-10 03:05:00|
51|N|Y|CTP_ALLOCATION|ACCOUNT_CODE|N|VARCHAR|48|N||N||2005-11-03 19:10:00|
52|Y|Y|CTP_ALLOCATION|CUSTOM1|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
53|Y|Y|CTP_ALLOCATION|CUSTOM2|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
54|Y|Y|CTP_ALLOCATION|CUSTOM3|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
55|Y|Y|CTP_ALLOCATION|CUSTOM4|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
56|Y|Y|CTP_ALLOCATION|CUSTOM5|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
57|Y|Y|CTP_ALLOCATION|CUSTOM6|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
58|Y|Y|CTP_ALLOCATION|CUSTOM7|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
59|Y|Y|CTP_ALLOCATION|CUSTOM8|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
60|Y|Y|CTP_ALLOCATION|CUSTOM9|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
61|Y|Y|CTP_ALLOCATION|CUSTOM10|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
62|Y|Y|CTP_ALLOCATION|CUSTOM11|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
63|Y|Y|CTP_ALLOCATION|CUSTOM12|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
64|Y|Y|CTP_ALLOCATION|CUSTOM13|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
65|Y|Y|CTP_ALLOCATION|CUSTOM14|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
66|Y|Y|CTP_ALLOCATION|CUSTOM15|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
67|Y|Y|CTP_ALLOCATION|CUSTOM16|N|VARCHAR|48|N||Y||2005-06-21 15:47:00|
5249|N|Y|CT_AR_MESSAGE_LANG|IS_LOCALIZED|N|BOOLEANCHAR|1|Y||N||2010-09-18 04:39:00|
5250|N|Y|CT_AR_MESSAGE_LANG|INTERNAL_MESSAGE|N|VARCHAR|1500|N|CI|Y||2010-09-18 04:39:00|
5251|N|Y|CT_AR_MESSAGE_LANG|EXTERNAL_MESSAGE|N|VARCHAR|1500|N|CI|Y||2010-09-18 04:39:00|
5252|N|Y|CT_AR_POLICY_LOCTYPE_SEGTYPE_MAP|AR_POL_KEY|Y|INTEGER||Y||||2010-09-18 04:39:00|
5253|N|Y|CT_AR_POLICY_LOCTYPE_SEGTYPE_MAP|SEGMENT_TYPE_KEY|Y|CHAR|5|Y||N||2010-09-18 04:39:00|
5254|N|Y|CT_AR_POLICY_LOCTYPE_SEGTYPE_MAP|LOC_TYPE_CODE|Y|VARCHAR|20|Y||N||2010-09-18 04:39:00|
5255|N|Y|CT_COUNTRY_GROUPING|CG_KEY|N|INTEGER||Y||||2010-09-18 04:39:00|
