1003|NONE||Y|N|N|N|N|Y|N
2030|NONE||Y|N|N|N|N|Y|N
2034|NONE||N|N|N|N|N|Y|N
2037|NONE||Y|N|N|N|N|Y|N
2038|NONE||Y|N|N|N|N|Y|N
2041|NONE||N|N|N|N|N|Y|N
