5721|2247|3|Y||2019-02-19 06:15:00||ENTR
5722|2247|4|Y||2019-02-19 06:15:00||ENTR
5723|2247|5|Y||2019-02-19 06:15:00||ENTR
5724|2247|6|Y||2019-02-19 06:15:00||ENTR
5725|2248|3|Y||2022-02-21 01:50:00||ENTR
5726|2248|4|Y||2022-02-21 01:50:00||ENTR
5727|2248|5|Y||2022-02-21 01:50:00||ENTR
5728|2248|6|Y||2022-02-21 01:50:00||ENTR
5729|2251|1|Y||2022-02-21 01:50:00||ENTR
5730|2251|2|Y||2022-02-21 01:50:00||ENTR
5735|2252|1|Y||2019-03-22 06:36:00||ENTR
5737|2245|1|Y||2022-02-21 01:50:00||ENTR
5738|2256|2|Y||2019-02-26 09:44:00||ENTR
5739|2256|3|Y||2019-02-26 09:44:00||ENTR
5740|2256|4|Y||2019-02-26 09:44:00||ENTR
5741|2256|5|Y||2019-02-26 09:44:00||ENTR
5742|2257|1|Y||2022-07-21 02:38:00||ENTR
5746|2260|1|Y||2022-07-21 02:38:00||ENTR
5747|2261|1|Y||2022-07-21 02:38:00||ENTR
5748|2261|2|Y||2022-07-21 02:38:00||ENTR
5749|2262|2|Y||2022-07-21 02:38:00||ENTR
5750|2262|3|Y||2022-07-21 02:38:00||ENTR
5751|2262|4|Y||2022-07-21 02:38:00||ENTR
5752|2262|5|Y||2022-07-21 02:38:00||ENTR
5753|2262|6|Y||2022-07-21 02:38:00||ENTR
5754|2262|7|Y||2022-07-21 02:38:00||ENTR
5755|2258|1|Y||2019-03-06 09:52:00||ENTR
5756|2259|1|Y||2019-03-06 09:28:00||ENTR
5761|2268|1|Y||2019-03-29 03:03:00||ENTR
5762|2269|1|Y||2019-03-29 03:03:00||ENTR
5763|2270|1|Y||2019-03-29 03:03:00||ENTR
5764|2271|1|Y||2019-03-29 03:03:00||ENTR
5765|2271|2|Y||2019-03-29 03:03:00||ENTR
5766|2271|3|Y||2019-03-29 03:03:00||ENTR
5767|2271|4|Y||2019-03-29 03:03:00||ENTR
5768|2271|5|Y||2019-03-29 03:03:00||ENTR
5769|2271|6|Y||2019-03-29 03:03:00||ENTR
5770|2272|3|Y||2019-03-29 03:03:00||ENTR
5771|2272|4|Y||2019-03-29 03:03:00||ENTR
5772|2272|5|Y||2019-03-29 03:03:00||ENTR
5773|2272|6|Y||2019-03-29 03:03:00||ENTR
5774|2277|2|Y||2019-02-25 01:16:00||ENTR
5775|2277|3|Y||2019-02-25 01:16:00||ENTR
5776|2277|4|Y||2019-02-25 01:16:00||ENTR
5777|2277|5|Y||2019-02-25 01:16:00||ENTR
5778|2278|1|Y||2019-02-25 01:16:00||ENTR
5779|2279|1|Y||2019-02-25 01:16:00||ENTR
5780|2279|2|Y||2019-02-25 01:16:00||ENTR
5781|2280|2|Y||2019-02-25 01:16:00||ENTR
5782|2280|3|Y||2019-02-25 01:16:00||ENTR
5783|2280|4|Y||2019-02-25 01:16:00||ENTR
5784|2280|5|Y||2019-02-25 01:16:00||ENTR
5785|2280|6|Y||2019-02-25 01:16:00||ENTR
5786|2280|7|Y||2019-02-25 01:16:00||ENTR
5803|2282|1|Y||2019-03-06 09:52:00||ENTR
5804|2283|1|Y||2019-03-06 09:52:00||ENTR
5805|2284|1|Y||2019-03-06 09:52:00||ENTR
5806|2285|1|Y||2019-03-06 09:52:00||ENTR
5815|2286|1|Y||2019-03-22 06:36:00||ENTR
5816|2287|1|Y||2019-03-22 06:36:00||ENTR
5817|2288|1|Y||2019-03-22 06:36:00||ENTR
5818|2289|1|Y||2019-03-22 06:36:00||ENTR
5826|2248|7|Y||2022-02-21 01:50:00||ENTR
5827|2292|1|Y||2019-03-21 02:50:00||ENTR
5828|2292|3|Y||2019-03-21 02:50:00||ENTR
5829|2292|5|Y||2019-03-21 02:50:00||ENTR
5830|2292|6|Y||2019-03-21 02:50:00||ENTR
5831|2292|7|Y||2019-03-21 02:50:00||ENTR
5832|2292|8|Y||2019-03-21 02:50:00||ENTR
5833|2293|1|Y||2019-03-21 02:50:00||ENTR
5834|2294|1|Y||2019-03-21 02:50:00||ENTR
5835|2295|1|Y||2019-03-21 02:50:00||ENTR
5836|2296|1|Y||2019-03-21 02:50:00||ENTR
5837|2297|1|Y||2019-03-21 02:50:00||ENTR
5838|2298|1|Y||2019-03-21 02:50:00||ENTR
5839|2299|1|Y||2019-03-21 02:50:00||ENTR
5840|2299|2|Y||2019-03-21 02:50:00||ENTR
5841|2300|2|Y||2019-03-21 02:50:00||ENTR
5842|2300|3|Y||2019-03-21 02:50:00||ENTR
5843|2300|4|Y||2019-03-21 02:50:00||ENTR
5844|2300|5|Y||2019-03-21 02:50:00||ENTR
5845|2300|6|Y||2019-03-21 02:50:00||ENTR
5846|2300|7|Y||2019-03-21 02:50:00||ENTR
5847|2306|1|Y||2019-03-22 06:36:00||ENTR
5848|2307|1|Y||2019-03-22 06:36:00||ENTR
5849|2307|2|Y||2019-03-22 06:36:00||ENTR
5850|2308|1|Y||2019-03-22 06:36:00||ENTR
5851|2309|1|Y||2019-03-22 06:36:00||ENTR
5852|2309|2|Y||2019-03-22 06:36:00||ENTR
