24|2|6360
25|2|28113.82
29|4|6000
30|2|23339.57
32|2|6800
33|2|51063.07
35|2|19861.26
36|2|33531.53
38|4|11000
40|2|7765.77
41|2|7720
43|2|300
44|2|15591.43
45|2|25810.27
47|4|5740
48|4|3724
49|2|7100
50|2|32446.78
51|2|13111.69
52|4|6110
53|4|12333.77
54|4|3400
55|2|23332.76
56|2|3000
57|2|6360
59|2|6300
62|2|4240
64|2|6300
66|2|6300
67|2|4800
68|2|13900
69|2|6300
70|2|6000
71|2|8000
72|2|48927.33
73|4|3000
74|4|18000
75|2|100
76|2|100
77|77|5930
78|43|6160
79|21|49313.84
80|15|7500
81|15|6000
83|11|11900
85|9|11900
86|17|14880
87|21|36000
88|19|5500
90|21|100
93|21|100
94|21|100
95|21|100
96|21|100
98|11|100
104|2|100
105|15|5600
106|2|100
108|15|49040.08
109|75|4260
112|19|6500
113|15|5700
114|19|23000
115|21|2700
116|43|4840
118|21|46200
119|67|5588
120|21|3000
122|77|5840
123|77|20260
125|73|4980
126|73|3800
127|21|3190
128|43|2540
129|73|3770
130|75|40000
131|5|1600
132|35|4400
133|75|4760
135|5|8420
136|89|5260
138|37|7120
139|47|4440
141|37|6820
142|87|5564
143|43|6260
144|87|4860
145|65|2760
146|5|12200
147|65|5274
148|65|4194
149|5|13800
150|77|5360
152|78|8200
153|21|5480
154|21|3964
155|7|680
156|21|5960
157|11|2180
158|87|4860
159|41|2590
160|13|4660
161|13|4460
162|75|6560
176|11|13600
177|21|3264
178|21|46200
179|21|8200
180|21|8200
182|71|5720
184|75|2780
185|77|65740
185|78|4000
186|41|3450
187|13|3760
188|47|3480
189|47|3010
190|7|6440
191|7|10020
192|7|4860
193|7|7550
196|39|8602
200|39|2954
201|33|4004
203|5|9380
204|19|4280
205|29|5640
207|71|2920
208|11|3580
210|5|46600
211|5|5094
212|57|3900
213|77|4660
214|77|9900
215|77|10100
216|17|34325.7
218|31|4554
220|35|4800
221|89|15360
222|14|13600
223|20|5900
224|67|6956
225|87|4910
227|75|5360
228|6|5360
229|15|3400
230|70|9400
231|77|42732.44
231|78|1682.36
232|77|3800
233|77|15228.58
234|21|44809.64
235|5|3680
236|18|37227.22
237|75|40000
238|17|1160
239|23|29500
240|89|9220
241|45|8800
242|45|7920
243|45|8480
244|19|700
245|76|9640
246|63|2622.36
247|16|2000
248|63|2400
249|77|3330
251|6|5044
252|14|12300
253|14|4780
254|63|4760
255|63|5860
258|9|6200
261|14|3714
262|14|3780
266|30|9400
267|8|6240
268|30|9200
269|20|6600
270|6|9020
271|16|3500
272|16|4500
281|16|200
287|12|5080
290|76|15700
291|6|4504
292|6|6584
298|16|5740
299|90|12280
300|10|10613
306|16|5200
310|6|10896
312|98|4600
314|6|4924
318|8|6340
321|78|8820
323|101|21654.5
324|90|4780
328|22|38172.61
329|22|3542
340|6|1080
341|78|9965.08
343|78|16500
344|90|10240
345|78|10010
346|98|42530.51
347|8|5160
350|203|41663.68
351|203|53358.57
353|115|4800
354|115|5850
355|125|5524
356|188|39000
359|115|5350
360|111|4800
361|111|4400
362|97|4880
363|133|5240
364|311|4650
365|100|5340
366|110|4660
367|131|12000
368|110|4360
369|132|17782
370|110|4360
371|93|7650
372|132|7800
373|129|2880
374|129|2980
375|132|12400
376|94|23000
377|122|3600
378|105|3800
380|101|3230
381|127|2984
382|132|2680
383|126|3640
384|126|3640
386|127|3004
387|95|6200
388|110|4660
389|110|4660
390|100|2630
391|97|25200
392|101|5460
393|101|3764
394|92|4524
395|97|11141.69
397|131|7260
398|198|26168.05
399|106|6014
400|131|7260
401|131|6060
402|198|4360
404|143|4000
405|132|5360
406|107|5734
410|93|7452.01
412|201|35674.62
414|203|5000
415|203|6000
416|157|7134
417|100|750
418|148|9950.97
419|148|9071.98
420|148|14130.53
422|141|21350.33
423|131|20000
424|131|6560
425|198|8540
426|198|4360
427|326|25154.34
428|92|9210
429|92|5860
431|132|2300
432|195|18000
433|101|5969.07
434|326|4974
435|281|4440
436|129|1399
437|311|4100
438|133|13100
439|271|1740
441|351|1744
442|101|4400
443|132|3100
445|341|6580
446|261|4940
449|266|3074
450|117|760
451|117|1760
452|188|52560.64
453|187|4500
454|276|2850
455|167|6560
456|95|5940
457|92|1480
458|92|3660
459|114|370
461|131|7760
462|147|28560
463|276|650
466|113|474
467|113|1340
468|188|37500
469|143|4444
470|188|2760
471|188|6194
472|187|5844
473|143|6000
474|142|6000
475|133|7140
476|148|15365.52
477|132|2900
479|110|2220
480|251|4360
482|125|3084
483|223|2100
484|331|4464
486|228|5764
487|228|1340
488|188|5404
489|188|5800
490|188|5474
491|132|6740
494|188|5604
495|101|4960
497|188|5460
498|98|1360
499|183|830
