41891|27521|01028||34|250|1|M|250|250|250||||||||||||||||||||||||||||||||||||||||||||||||2023-09-18 00:00:00|N|||2023-10-20 08:32:00||I|0||||||||N||N||
41892|27521|01073||34|500|1|M|500|-186.65|500||||||||||||||||||||||||||||||||||||||||||||||||2023-09-18 00:00:00|N|||2023-10-20 08:32:00||I|0||||||||N||N||
41841|27507|01028||34|1500|1|M|1500|0|1500||||||||||||||||||||||||||||||||||||||||||||||||2023-08-14 00:00:00|N|||2023-09-11 03:46:00||I|0||||||||N||N||
41842|27507|01073||34|1500|1|M|1500|918.24|1500||||||||||||||||||||||||||||||||||||||||||||||||2023-08-14 00:00:00|N|||2023-09-11 03:46:00||I|0||||||||N||N||
41847|27509|01073||34|300|1|M|300|160.6|300||||||||||||||||||||||||||||||||||||||||||||||||2023-08-09 00:00:00|N|||2023-09-04 03:19:00||I|0||||||||N||N||
41848|27509|01073||34|500|1|M|500|500|500||||||||||||||||||||||||||||||||||||||||||||||||2023-08-09 00:00:00|N|||2023-09-04 03:19:00||I|0||||||||N||N||
41849|27509|LODTX||34|1690|1|M|1690|1690|1690||||||||||||||||||||||||||||||||||||||||||||||||2023-08-09 00:00:00|N|||2023-09-04 03:19:00||I|0||||||||N||N||
41850|27509|AIRFR||34|5000|1|M|5000|5000|5000||||||||||||||||||||||||||||||||||||||||||||||||2023-08-09 00:00:00|N|||2023-09-04 03:19:00||N|0||||||||N||N||
41851|27509|01028||34|500|1|M|500|13|500||||||||||||||||||||||||||||||||||||||||||||||||2023-08-09 00:00:00|N|||2023-09-04 03:19:00||I|0||||||||N||N||
41852|27509|01028||34|500|1|M|500|451|500||||||||||||||||||||||||||||||||||||||||||||||||2023-08-09 00:00:00|N|||2023-09-04 03:19:00||I|0||||||||N||N||
41853|27510|01062||60|16200|0.9213159394|M|14925.32|1007.96|14925.32||||||||||||||||||||||||||||||||||||||||||||||||2023-08-20 00:00:00|N|||2023-12-04 06:39:00||I|0||||||||N||N||
41854|27510|01065||34|2800|1|M|2800|5|2800||||||||||||||||||||||||||||||||||||||||||||||||2023-08-20 00:00:00|N|||2023-12-04 06:39:00||N|0||||||||N||N||
