2000|1013|1014|Store||2017-07-27 10:07:00
2001|1037|1038|Office - HFI||2017-10-12 04:36:00
2002|1039|1040|Office - RVMLA||2017-10-12 04:36:00
2003|1041|1042|Office - VMM||2017-10-12 04:36:00
2006|1049|1050|SAP||2017-09-24 04:26:00
2007|1053|1054|Office - VIC||2018-12-14 01:54:00
