2174|1|01012||2013-11-29 11:41:00|N
2174|1|01017||2013-11-29 11:41:00|N
2249|1|GIFTS||2014-01-03 14:49:00|N
2249|1|AWRDS||2014-01-03 14:49:00|N
2112|1|01031||2015-08-13 20:14:00|N
5563|2|01064||2017-10-31 01:58:00|N
5563|2|01066||2017-10-31 01:58:00|N
5948|1|01010||2022-03-03 08:33:00|N
5601|2|01028||2018-11-29 07:01:00|N
5557|2|01089||2017-09-18 07:29:00|N
2174|1|DUESX||2013-11-29 11:41:00|N
2174|1|SEMNR||2013-11-29 11:41:00|N
2174|1|LODNG||2013-11-29 11:41:00|N
2174|1|01002||2013-11-29 11:41:00|N
2174|1|OFCSP||2013-11-29 11:41:00|N
3773|2|01046||2012-12-03 11:58:00|N
2174|1|TRDSH||2013-11-29 11:41:00|N
3878|1|CARMI||2013-05-09 19:08:00|N
5557|2|01064||2017-09-18 07:29:00|N
5646|1|10003||2017-09-28 01:59:00|N
5646|1|10005||2017-09-28 01:59:00|N
5646|1|10002||2017-09-28 01:59:00|N
5646|1|10006||2017-09-28 01:59:00|N
5592|2|01062||2017-10-13 11:24:00|N
2165|1|01023||2017-09-21 14:13:00|N
4351|1|TELFX||2014-02-08 04:24:00|N
2165|1|INCTS||2017-09-21 14:13:00|N
2165|1|01001||2017-09-21 14:13:00|N
2165|1|LODTX||2017-09-21 14:13:00|N
2165|1|MILEG||2017-09-21 14:13:00|N
2165|1|CARMI||2017-09-21 14:13:00|N
2165|1|CSHRN||2017-09-21 14:13:00|N
2165|1|CURGL||2017-09-21 14:13:00|N
2165|1|01000||2017-09-21 14:13:00|N
5592|2|LODTX||2017-10-13 11:24:00|N
5592|2|01064||2017-10-13 11:24:00|N
5593|2|01062||2017-10-13 11:25:00|N
3878|1|MILEG||2013-05-09 19:08:00|N
2107|1|LODNG||2013-06-18 14:28:00|N
2107|1|AIRFR||2013-06-18 14:28:00|N
5593|2|LODTX||2017-10-13 11:25:00|N
5593|2|01064||2017-10-13 11:25:00|N
4429|1|MILEG||2015-11-02 17:55:00|N
4429|1|CARMI||2015-11-02 17:55:00|N
4429|1|CSHRN||2015-11-02 17:55:00|N
4429|1|CURGL||2015-11-02 17:55:00|N
4429|1|01000||2015-11-02 17:55:00|N
4429|1|01023||2015-11-02 17:55:00|N
2191|1|BRKFT||2013-06-18 14:29:00|N
2191|1|DINNR||2013-06-18 14:29:00|N
2191|1|LUNCH||2013-06-18 14:29:00|N
2191|1|01005||2013-06-18 14:29:00|N
2191|1|POSTG||2013-06-18 14:29:00|N
2191|1|01006||2013-06-18 14:29:00|N
2191|1|CELPH||2013-06-18 14:29:00|N
2191|1|ONLIN||2013-06-18 14:29:00|N
2191|1|LOCPH||2013-06-18 14:29:00|N
2191|1|MISCL||2013-06-18 14:29:00|N
2191|1|01014||2013-06-18 14:29:00|N
4429|1|LODTX||2015-11-02 17:55:00|N
4429|1|INCTS||2015-11-02 17:55:00|N
4429|1|01001||2015-11-02 17:55:00|N
4430|1|MILEG||2015-11-02 17:55:00|N
4430|1|CARMI||2015-11-02 17:55:00|N
