2053|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2054|N|N||EXTRACT_OUTPUT||X|<JOB_DATA_ROOT>payment\extract|<JOB_DATA_ROOT>payment\extract\archive|N|X||||N|||2017-09-30 07:42:00|N|Y
2055|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2056|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2061|Y|N||LOCATION||<DEFAULT_JOB_DEF>\location_comma_delimited_v2.xml|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2071|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2072|Y|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2073|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2074|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2075|Y|N||EXTRACT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2076|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2077|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2078|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2079|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2080|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2081|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2082|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2083|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2084|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2085|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2086|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2087|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2088|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2089|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2095|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2096|N|Y||AUTH_REQ_EXPIRE|78751||||N|||||N|||2024-01-03 11:01:00|N|Y
2099|Y|N||TRVL_ALLOWANCE||<DEFAULT_JOB_DEF>\concur-standard_v3.xml|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N||N|N||N|||2017-09-30 07:42:00|N|Y
2100|Y|N||LIST||<DEFAULT_JOB_DEF>\concur-standard.xml|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N||N|N|,|N|||2017-09-30 07:42:00|N|Y
2101|N|N||EMPLOYEE|78750|<DEFAULT_JOB_DEF>\employee_comma_delimited_v2.xml|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N||N|N|,|N|||2024-01-03 11:01:00|N|Y
2102|N|N||EMAIL_REMINDER|78752||||N||N|N||N|||2024-01-03 11:01:00|N|Y
2103|N|N||DW_EXP_ARCHIVE|78754||||N||N|N||N|||2024-01-03 11:01:00|N|Y
2104|N|N||DW_TRVL_ARCHIVE|78755||||N||N|N||N|||2024-01-03 11:02:00|N|Y
2105|N|Y||EFT_EMAIL|||||N|||||N|||2017-09-30 07:42:00|N|Y
2106|N|Y||EFT_PROCESS|||||N|||||N|||2017-09-30 07:42:00|N|Y
2107|N|Y||CTE_TASK|||||N|||||N|||2017-09-30 07:42:00|N|Y
2108|N|Y||CTE_TASK|||||N|||||N|||2017-09-30 07:42:00|N|Y
2109|N|Y||CTE_TASK|||||N|||||N|||2017-09-30 07:42:00|N|Y
2110|N|Y||REQ_ASSIGN_TO|||||N|||||N|||2017-09-30 07:42:00|N|Y
2111|N|Y||INV_EFT_PROCESS|||||N|||||N|||2017-09-30 07:42:00|N|Y
2112|N|Y||INV_EFT_BATCH|||||N|||||N|||2017-09-30 07:42:00|N|Y
2113|Y|N||TRVL_ALLOWANCE||<DEFAULT_JOB_DEF>\concur-standard_v2.xml|<DEFAULT_JOB_DATA>\V2|<DEFAULT_JOB_ARCHIVE>\V2|Y|||||N|||2017-09-30 07:42:00|N|Y
2114|Y|N||OID_IMPORT||1|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2115|N|N|CBCP|CARD_FEED|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>\archive|N|||||N|||2017-09-30 07:42:00|N|Y
2116|Y|N||EXTRACT|||||N|||||N|||2017-09-30 07:42:00|N|Y
2117|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2118|Y|N||TAXABILITY||<DEFAULT_JOB_DEF>\taxability_standard.xml|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2119|N|Y||REQ_EXPIRE|||||N|||||N|||2017-09-30 07:42:00|N|Y
2120|Y|Y||EXTRACT|||||N|||||N|||2017-09-30 07:42:00|N|Y
2121|N|Y||CTE_TASK|||||N|||||N|||2017-09-30 07:42:00|N|Y
2122|Y|N||EXTRACT|||||N|||||N|||2017-09-30 07:42:00|N|Y
2123|Y|N||EXTRACT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
