INV_PURCHASING|PMT|PMT|N|Y|N||2011-10-22 01:48:00|N|N|Y|N
IT_ADMIN|SHD|EMP|N|N|N||2010-04-16 20:15:00|N|Y|N|N
IT_ADMIN_RO|SHD|EMP|N|Y|N||2010-04-16 20:15:00|N|Y|N|N
IT_PROGRAMMER|SHD|EMP|N|N|N||2010-04-16 20:15:00|N|Y|N|N
MANAGER|EXP|EXP|N|Y|N||2009-05-15 20:10:00|N|Y|N|N
MANAGER1|SHD|EMP|Y|N|N||2013-08-24 02:15:00|N|Y|N|N
MANAGER2|SHD|EMP|Y|N|N||2013-08-24 02:15:00|N|Y|N|N
MDI_IES_ADMIN|SHD|EMP|N|N|N||2023-08-25 21:34:00|N|N|N|N
NATIVE_INTG|SHD|EMP|Y|N|N||2023-03-16 23:15:00|N|N|N|N
OFFLINE_USER|EXP|EXP|N|Y|N||2010-04-16 20:15:00|N|Y|N|N
PASSWORD_MGR|SHD|EMP|N|Y|Y||2010-06-19 06:31:00|N|Y|N|N
PAYMENT_APRVR|PMT|PMT|N|Y|N||2009-05-15 20:10:00|N|N|Y|N
PAYMENT_AP_USER|PMT|PMT|N|Y|Y||2014-06-14 03:34:00|N|Y|Y|N
PAYMENT_AUDITOR|PMT|PMT|Y|Y|Y||2010-02-19 21:13:00|N|N|Y|N
PAYMENT_USER|PMT|PMT|N|Y|N||2009-05-15 20:10:00|N|N|Y|N
PAYROLL_ADMIN|SHD|EMP|N|Y|N||2018-02-03 00:10:00|N|N|N|N
PCARD_ADMIN|EXP|EXP|N|Y|Y||2012-03-24 01:57:00|N|Y|N|N
PMT_ACCT_CLERK|PMT|PMT|Y|Y|Y||2010-02-19 21:13:00|N|N|Y|N
PMT_ACCT_MGR|PMT|PMT|Y|Y|Y||2010-02-19 21:13:00|N|N|Y|N
PMT_ADMIN|PMT|PMT|Y|N|Y||2017-03-23 22:05:00|N|Y|N|N
PMT_ADMIN_RO|PMT|PMT|N|Y|Y||2017-05-04 22:03:00|N|Y|N|N
PMT_IC_VERIFIER|PMT|PMT|N|Y|N||2013-03-23 02:06:00|N|N|Y|N
PMT_PROXY_LOGON|PMT|PMT|N|Y|Y||2010-04-16 20:15:00|N|N|Y|N
PMT_TAX_ADMIN|PMT|PMT|N|Y|N||2014-07-12 03:26:00|N|N|Y|N
PMT_VENAPPROVER|PMT|PMT|Y|Y|Y||2014-05-17 03:10:00|N|N|Y|N
PO_AUDITOR|PMT|PMT|N|Y|Y||2016-08-13 02:08:00|N|N|Y|N
PO_PROCESSOR|PMT|PMT|N|Y|Y||2013-04-27 02:22:00|N|N|Y|N
PURCH_APRVR|PMT|PMT|Y|Y|N||2013-01-19 03:40:00|N|N|Y|N
PURCH_AUDITOR|PMT|PMT|N|Y|Y||2016-08-13 02:08:00|N|N|Y|N
PURCH_PROCESSOR|PMT|PMT|Y|Y|Y||2013-01-19 03:40:00|N|N|Y|N
PURCH_USER|PMT|PMT|N|Y|N||2013-01-19 03:40:00|N|N|Y|N
