2000||N|Y|N||2016-04-12 13:40:00
2001||N|N|N||2017-09-30 13:05:00
2002||Y|N|N||2014-01-18 04:18:00
2003||Y|N|N||2014-01-18 04:18:00
2007||N|N|N||2017-09-30 13:06:00
2008||N|N|N||2017-09-30 13:06:00
2009||N|N|N||2017-09-15 01:59:00
2010||N|N|Y||2017-10-31 05:17:00
2011||N|N|N||2018-12-14 01:52:00
2012||N|N|N||2020-10-02 13:52:00
2013||N|N|Y||2020-10-03 12:33:00
2014||N|N|N||2020-10-03 11:39:00
