01050|N|N|OTHER|ALWAYS|OTHER|||2013-06-24 10:00:00|N|Y|OTHER||NREQ|N||
01051|N|N|MFUEL|ALWAYS|TRANS|||2014-12-15 10:40:00|N|Y|MFUEL||NREQ|N||
01052|N|N|OTHER|ALWAYS|MEALS|||2015-04-26 22:35:00|N|Y|MEALN|2|NREQ|N||
01053|N|N|OTHER|ALWAYS|OTHER|||2015-04-26 22:36:00|N|Y|OTHER||NREQ|N||
01054|N|N|OTHER|CHILD|TRANS|||2015-04-26 22:38:00|N|Y|GASXX||NREQ|N||
01055|N|N|OTHER|ALWAYS||||2016-04-12 13:53:00|N|Y|OTHER||NREQ|N||
01056|Y|N|OTHER|ALWAYS||||2017-07-27 09:52:00|N|Y|OTHER||NREQ|N||
01057|N|N|OTHER|ALWAYS|OTHER|||2017-09-25 13:28:00|N|Y|OTHER||NALW|N||
01058|N|N|OTHER|ALWAYS|OTHER|||2017-09-25 13:28:00|N|Y|OTHER||NALW|N||
01059|N|N|OTHER|ALWAYS|OTHER|||2017-09-25 13:28:00|N|Y|OTHER||NALW|N||
01060|N|N|OTHER|ALWAYS|OTHER|||2017-09-25 13:28:00|N|Y|OTHER||NALW|N||
01061|Y|N|OTHER|ALWAYS||||2017-07-29 16:46:00|N|Y|OTHER||NREQ|N||
01062|N|N|LODGING|NORMAL|LODGE|||2020-10-26 02:35:00|N|Y|LODGA||NALW|N||
01063|Y|N|LODGING|ALWAYS||||2017-07-28 03:41:00|N|Y|LODGA||NREQ|N||
01064|N|N|LODGING|NORMAL|LODGE|||2017-10-13 11:13:00|N|Y|LODGA||NALW|N||
01065|N|N|OTHER|ALWAYS|TRANS|||2017-09-25 13:25:00|N|Y|AIRFR||NALW|N||
01066|N|N|OTHER|ALWAYS|TRANS|||2017-09-25 13:27:00|N|Y|AIRFR||NALW|N||
01067|Y|N|OTHER|ALWAYS||||2017-08-07 07:47:00|N|Y|GRTRN||NREQ|N||
01068|Y|N|OTHER|ALWAYS||||2017-08-07 07:46:00|N|Y|GRTRN||NREQ|N||
01069|N|N|OTHER|ALWAYS|MEALS|||2017-09-25 13:26:00|N|Y|MEALN||NALW|N||
01070|N|N|OTHER|ALWAYS|MEALS|||2017-09-25 13:27:00|N|Y|MEALN||NALW|N||
01071|N|N|OTHER|ALWAYS|MEALS|||2017-09-25 13:27:00|N|Y|MEALN||NALW|N||
01072|N|N|OTHER|ALWAYS|TRANS|||2017-09-25 13:26:00|N|Y|GRTRN||NALW|N||
01073|N|N|OTHER|ALWAYS|TRANS|||2017-09-25 13:27:00|N|Y|RAILX||NALW|N||
01074|N|N|OTHER|ALWAYS|TRANS|||2017-09-25 13:26:00|N|Y|GRTRN||NALW|N||
01075|N|N|OTHER|ALWAYS|ENTRT|||2017-09-25 13:26:00|N|Y|ENTER||NALW|N||
01076|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:28:00|N|Y|OFFIC||NALW|N||
01077|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:29:00|N|Y|OFFIC||NALW|N||
01078|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:29:00|N|Y|OFFIC||NALW|N||
01079|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:29:00|N|Y|OFFIC||NALW|N||
01080|N|N|OTHER|ALWAYS|01021|||2021-10-18 01:37:00|N|Y|OFFIC||NALW|N||
01081|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:29:00|N|Y|OFFIC||NALW|N||
01082|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:28:00|N|Y|OFFIC||NALW|N||
01083|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:30:00|N|Y|OFFIC||NALW|N||
01084|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:29:00|N|Y|OFFIC||NALW|N||
01085|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:29:00|N|Y|OFFIC||NALW|N||
01086|N|N|OTHER|ALWAYS|01021|||2021-10-18 02:07:00|N|Y|OFFIC||NALW|N||
01087|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:30:00|N|Y|AIRFE||NALW|N||
01088|N|N|OTHER|ALWAYS|OTHER|||2017-08-07 08:30:00|N|Y|OTHER||NREQ|N||
