2070|EXP|HOTELTAX|N|99|Y|N||2011-03-28 15:14:00
2071|EXP|UKTELNB|N|99|Y|N||2013-06-18 14:40:00
2072|EXP|UKP11D|N|1|Y|N||2013-06-18 14:40:00
2073|EXP|BANKINFO|N|99|Y|N||2011-04-14 09:32:00
2074|EXP|NOBANK|N|99|Y|N||2011-04-14 09:33:00
2075|EXP|PERSCCCR|N|51|Y|N||2011-04-14 09:36:00
2076|EXP|DENOREC|N|99|Y|N||2013-06-18 14:39:00
2077|EXP|DENOREC2|N|1|Y|N||2013-06-18 14:39:00
2078|EXP|DETRINC|N|99|Y|N||2013-06-18 14:39:00
2079|EXP|DENTRIC|N|99|Y|N||2013-06-18 14:39:00
2080|EXP|DEGFNEMP|Y|99|Y|N||2011-05-25 13:21:00
2081|EXP|DEGL35|N|99|Y|N||2013-06-18 14:39:00
2082|EXP|DEGG35|N|99|Y|N||2013-06-18 14:38:00
2083|EXP|DEENTNDO|N|99|Y|N||2013-06-18 14:38:00
2084|EXP|DEENTNFR|N|99|Y|N||2013-06-18 14:38:00
2085|EXP|DEENT150|N|99|Y|N||2013-06-18 14:38:00
2086|EXP|DEENTNCO|N|99|Y|N||2013-06-18 14:38:00
2087|EXP|INTVATF|N|99|Y|N||2011-08-10 11:25:00
2088|EXP|INTVATD|N|99|Y|N||2011-08-10 11:25:00
2089|EXP|DETR150|N|1|Y|N||2013-06-18 14:39:00
2090|EXP|UKDIESEL|N|99|Y|N||2013-06-18 14:40:00
2091|EXP|EXPWE|N|1|Y|Y||2015-12-15 14:34:00
2092|REQ|REQEXPWE|N|1|Y|Y||2011-06-18 03:48:00
2093|EXP|NOTBACRN|N|2147483647|N|Y||2011-07-23 01:37:00
2094|EXP|FRGIFT1|N|1|Y|N||2014-01-03 14:49:00
2095|EXP|FRPRTPRM|N|1|Y|N||2013-06-18 14:39:00
2096|EXP|FRMLS150|N|99|Y|N||2014-04-29 10:54:00
2097|EXP|FRMLSITM|N|99|Y|N||2013-06-18 14:39:00
2098|EXP|FRTAXINV|N|1|Y|N||2013-06-18 14:39:00
2099|EXP|FRTRNSTR|N|1|Y|N||2013-06-18 14:39:00
2100|EXP|NONREIMB|N|99|Y|N||2011-09-15 09:50:00
2101|EXP|PENDCARD|N|2147483647|Y|Y||2015-12-15 14:34:00
2102|EXP|REDRFUND|N|2147483647|N|Y||2012-04-21 03:28:00
2103|REQ|HDRONLY|N|2147483647|Y|Y||2012-04-21 03:28:00
2104|EXP|UNMSTMTR|N|2147483647|N|Y||2012-04-21 03:28:00
2105|EXP|UNMEXPER|N|2147483647|N|Y||2012-04-21 03:28:00
2106|EXP|UNMCCACT|N|2147483647|N|Y||2012-04-21 03:28:00
2107|EXP|UNMSTMTP|N|2147483647|N|Y||2012-04-21 03:28:00
2108|EXP|UKDOM250|N|1|Y|N||2012-05-22 15:01:00
2109|REQ|COW|N|2147483647|N|Y||2012-06-23 01:46:00
2110|REQ|CONOAPPR|N|2147483647|N|Y||2012-06-23 01:46:00
2111|EXP|CORPCOMP|N|1|Y|N||2015-12-15 14:35:00
2112|EXP|CORPCMP2|N|99|Y|N||2015-12-15 14:35:00
2113|REQ|HOTEL1|N|99|Y|Y||2012-06-23 01:46:00
2114|REQ|INSUR1|N|99|Y|Y||2012-06-23 01:46:00
2115|REQ|SEGTYPE|N|2147483647|N|Y||2012-08-18 01:53:00
2116|REQ|SEGLOC|N|2147483647|N|Y||2012-08-18 01:53:00
2117|REQ|CARRT1|N|99|Y|Y||2012-10-20 02:14:00
2118|REQ|CARRT2|N|99|Y|Y||2012-10-20 02:14:00
2119|REQ|OBSOPROP|N|99|Y|Y||2012-10-20 02:14:00
2120|REQ|SEGDAT|N|99|Y|N||2012-10-30 17:39:00
2121|REQ|SEGREQDA|N|99|Y|N||2012-10-31 10:18:00
2122|EXP|BOW|N|2147483647|N|Y||2012-11-17 03:33:00
2123|REQ|BOW|N|2147483647|N|Y||2012-11-17 03:33:00
2124|REQ|CALWARN1|N|1|N|Y||2012-11-17 03:34:00
2125|REQ|CALWARN2|N|1|Y|Y||2012-11-17 03:34:00
2126|EXP|ITVAT|N|1|Y|N||2012-12-03 11:42:00
2127|EXP|ITMUNIC|N|99|Y|N||2012-12-03 11:37:00
2128|EXP|ITFIXED|N|99|Y|N||2012-12-03 11:41:00
2129|EXP|ITINCMUN|N|99|Y|N||2012-12-03 11:58:00
