2036|2006|2147483645|N|Y|Y|A_PVAL|SYSTEM||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2016-04-12 13:44:00||Y||
2037|2006|2147483646|N|Y|Y|P_PROC|SYSTEM||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2016-04-12 13:44:00||Y||
2038|2006|-2|N|Y|Y|A_PEND|MANAGER||BOTH|BOTH|N|N|com.concur.services.workflow.handlers.ReportHandler||2016-04-12 13:44:00||Y||
2039|2006|-3|N|Y|N|A_ACCO|ACCT_CLERK||NONE|NONE|||com.concur.services.workflow.handlers.ReportHandler||2008-10-21 09:16:00||Y||
2043|2016|1|N|N|Y|A_PECO|CO_APPROVER||NONE|NONE|||com.concur.services.workflow.handlers.ExpCostObjectHandler||2009-01-16 21:35:00||Y||
2044|2017|1|N|N|Y|R_PECO|CO_APPROVER||NONE|NONE|||com.concur.services.workflow.handlers.InvoiceCostObjectHandler||2009-01-16 21:35:00||Y||
2045|2016|-2|N|N|Y|A_PECO|CO_APPROVER||NONE|NONE|||com.concur.services.workflow.handlers.ExpCostObjectHandler||2009-03-20 20:39:00||Y||
2046|2018|-1|N|Y|N|Q_NOTF|SYSTEM||NONE|NONE|N|N|com.concur.services.workflow.handlers.ARHandler||2016-04-12 03:35:00||Y||
2047|2018|1|N|N|Y|Q_PEND|REQ_MANAGER||SUBMITTER|NONE|N|N|com.concur.services.workflow.handlers.ARHandler||2016-04-12 03:35:00||Y||
2048|2018|2147483646|N|Y|N|Q_APPR|SYSTEM||NONE|NONE|N|N|com.concur.services.workflow.handlers.ARHandler||2016-04-12 03:35:00||Y||
2049|2018|-2|N|Y|Y|Q_PEND|REQ_MANAGER||BOTH|BOTH|N|N|com.concur.services.workflow.handlers.ARHandler||2016-04-12 03:35:00||Y||
2050|2019|1|N|N|N|A_PEND|CR_PROCESSOR||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2016-04-12 13:45:00||Y||
