89|LVL|428|2|Y|N|2014-01-15 00:00:00||2014-02-05 17:23:00|N
90|LYD|434|3|N|N|||2014-02-05 17:23:00|N
91|MAD|504|2|N|N|||2014-02-05 17:23:00|N
92|MDL|498|2|N|N|||2014-02-05 17:23:00|N
93|MGF|450|0|Y|N|2004-12-31 00:00:00||2014-02-05 17:23:00|N
94|MKD|807|2|N|N|||2014-02-05 17:23:00|N
95|MMK|104|2|N|N|||2014-02-05 17:23:00|N
96|MNT|496|2|N|N|||2014-02-05 17:23:00|N
97|MOP|446|2|N|N|||2014-02-05 17:23:00|N
98|MRO|478|2|Y|N|2018-07-01 00:00:00||2018-07-10 22:26:00|N
99|MTL|470|2|Y|N|2008-01-01 00:00:00||2014-02-05 17:23:00|N
100|MUR|480|2|N|N|||2014-02-05 17:23:00|N
101|MVR|462|2|N|N|||2014-02-05 17:23:00|N
102|MWK|454|2|N|N|||2014-02-05 17:23:00|N
103|MXN|484|2|N|Y|||2014-02-05 17:23:00|N
104|MYR|458|2|N|Y|||2014-02-05 17:23:00|N
105|MZM|508|2|Y|N|2006-12-31 00:00:00||2014-02-05 17:23:00|N
106|NAD|516|2|N|N|||2014-02-05 17:23:00|N
107|NGN|566|2|N|N|||2014-02-05 17:23:00|N
108|NIO|558|2|N|N|||2014-02-05 17:23:00|N
109|NOK|578|2|N|Y|||2014-02-05 17:23:00|N
110|NPR|524|2|N|N|||2014-02-05 17:23:00|N
111|NZD|554|2|N|Y|||2014-02-05 17:23:00|N
112|OMR|512|3|N|N|||2014-02-05 17:23:00|N
113|PAB|590|2|N|N|||2014-02-05 17:23:00|N
114|PEN|604|2|N|N|||2014-02-05 17:23:00|N
115|PGK|598|2|N|N|||2014-02-05 17:23:00|N
116|PHP|608|2|N|Y|||2014-02-05 17:23:00|N
117|PKR|586|2|N|N|||2014-02-05 17:23:00|N
118|PLN|985|2|N|Y|||2014-02-05 17:23:00|N
119|PYG|600|0|N|N|||2014-02-05 17:23:00|N
120|QAR|634|2|N|N|||2014-02-05 17:23:00|N
121|ROL|642|2|Y|N|2006-12-31 00:00:00||2014-02-05 17:23:00|N
122|RUR|810|2|Y|N|2004-01-01 00:00:00||2014-02-05 17:23:00|N
123|RWF|646|0|N|N|||2014-02-05 17:23:00|N
124|SAR|682|2|N|N|||2014-02-05 17:23:00|N
125|SBD|090|2|N|N|||2014-02-05 17:23:00|N
126|SCR|690|2|N|N|||2014-02-05 17:23:00|N
127|SDD|736|2|Y|N|2007-07-01 00:00:00||2014-02-05 17:23:00|N
128|SEK|752|2|N|Y|||2014-02-05 17:23:00|N
129|SGD|702|2|N|Y|||2014-02-05 17:23:00|N
130|SHP|654|2|N|N|||2014-02-05 17:23:00|N
131|SIT|705|2|Y|N|2007-01-01 00:00:00||2014-02-05 17:23:00|N
132|SKK|703|2|Y|N|2009-01-01 00:00:00||2014-02-05 17:23:00|N
133|SLL|694|2|N|N|||2014-02-05 17:23:00|N
134|SOS|706|2|N|N|||2014-02-05 17:23:00|N
135|SRG|740|2|Y|N|2003-12-31 00:00:00||2014-02-05 17:23:00|N
136|STD|678|2|Y|N|2018-07-01 00:00:00||2018-07-10 22:26:00|N
137|SVC|222|2|N|N|||2017-04-07 21:56:00|N
138|SYP|760|2|N|N|||2014-02-05 17:23:00|N
139|SZL|748|2|N|N|||2014-02-05 17:23:00|N
140|THB|764|2|N|Y|||2014-02-05 17:23:00|N
141|TJS|972|2|N|N|||2014-02-05 17:23:00|N
142|TMM|795|2|Y|N|2009-01-01 00:00:00||2014-02-05 17:23:00|N
143|TND|788|3|N|N|||2014-02-05 17:23:00|N
144|TOP|776|2|N|N|||2014-02-05 17:23:00|N
145|TPE|626|0|Y|N|2002-11-27 00:00:00||2014-02-05 17:23:00|N
146|TRL|792|0|Y|N|2005-12-31 00:00:00||2014-02-05 17:23:00|N
147|TTD|780|2|N|N|||2014-02-05 17:23:00|N
148|TWD|901|2|N|Y|||2014-02-05 17:23:00|N
149|TZS|834|2|N|N|||2014-02-05 17:23:00|N
150|UAH|980|2|N|N|||2014-02-05 17:23:00|N
151|UGX|800|0|N|N|||2014-02-05 17:23:00|N
152|UYU|858|2|N|N|||2014-02-05 17:23:00|N
153|UZS|860|2|N|N|||2014-02-05 17:23:00|N
154|VEB|862|2|Y|N|2008-07-01 00:00:00||2014-02-05 17:23:00|N
155|VND|704|0|N|Y|||2014-02-05 17:23:00|N
156|VUV|548|0|N|N|||2014-02-05 17:23:00|N
157|WST|882|2|N|N|||2014-02-05 17:23:00|N
158|XAF|950|0|N|N|||2014-02-05 17:23:00|N
159|XCD|951|2|N|N|||2014-02-05 17:23:00|N
160|XOF|952|0|N|N|||2014-02-05 17:23:00|N
161|XPF|953|0|N|N|||2014-02-05 17:23:00|N
162|YER|886|2|N|N|||2014-02-05 17:23:00|N
163|YUM|891|2|Y|N|2003-02-02 00:00:00||2014-02-05 17:23:00|N
164|ZAR|710|2|N|N|||2014-02-05 17:23:00|N
165|ZMK|894|2|Y|N|2012-12-31 00:00:00||2014-02-05 17:23:00|N
166|ZWD|716|2|Y|N|2008-08-01 00:00:00||2014-02-05 17:23:00|N
167|AFA|004|2|Y|N|2003-01-02 00:00:00||2014-02-05 17:23:00|N
168|RUB|643|2|N|Y|||2014-02-05 17:23:00|N
169|MGA|969|2|N|N|||2014-02-05 17:23:00|N
170|SRD|968|2|N|N|||2014-02-05 17:23:00|N
171|TRY|949|2|N|N|||2014-02-05 17:23:00|N
172|RON|946|2|N|N|||2014-02-05 17:23:00|N
173|CSD|891|0|Y|N|2006-10-25 00:00:00||2014-02-05 17:23:00|N
1174|AZN|944|2|N|N|||2014-02-05 17:23:00|N
1175|MZN|943|2|N|N|||2014-02-05 17:23:00|N
1176|RSD|941|2|N|N|||2014-02-05 17:23:00|N
1177|SDG|938|2|N|N|||2014-02-05 17:23:00|N
1178|ISK|352|0|N|N|||2014-02-05 17:23:00|N
1179|GHS|936|2|N|N|||2014-02-05 17:23:00|N
1180|VEF|937|2|Y|N|2018-08-20 00:00:00||2018-10-23 23:16:00|N
1181|ZWR|935|2|Y|N|2009-06-30 00:00:00||2014-02-05 17:23:00|N
1182|CNX|158|2|Y|N|1989-12-01 00:00:00||2014-02-05 17:23:00|N
1183|TMT|934|2|N|N|||2014-02-05 17:23:00|N
1184|ZWL|932|2|N|N|||2014-02-05 17:23:00|N
1185|CUC|931|2|N|N|||2014-02-05 17:23:00|N
1186|AYM|931|2|Y|N|2005-10-01 00:00:00||2014-02-05 17:23:00|N
1187|ECS|218|2|Y|N|2000-09-01 00:00:00||2014-02-05 17:23:00|N
1188|SSP|728|2|N|N|||2014-02-05 17:23:00|N
1189|ZMW|967|2|N|N|||2014-02-05 17:23:00|N
1190|BYN|933|2|N|N|||2016-07-09 01:33:00|N
1191|STN|930|2|N|N|||2018-01-14 01:18:00|N
1192|VES|928|2|N|N|||2018-08-17 21:47:00|N
1193|MRU|929|2|N|N|||2018-06-14 22:17:00|N
1194|VED|926|2|Y|N|2022-04-08 00:00:00||2022-04-05 23:53:00|N
1195|SLE|925|2|N|N|||2022-11-03 06:49:00|N
