397|240||2017-12-25 08:21:00
399|299||2017-12-25 09:41:00
401|324||2017-12-25 10:14:00
402|344||2017-12-25 10:20:00
405|329||2017-12-26 03:18:00
407|298||2017-12-26 06:01:00
412|190||2017-12-28 04:20:00
413|155||2017-12-28 07:37:00
415|230||2017-12-28 08:13:00
416|347||2017-12-28 08:16:00
420|152||2018-01-03 03:00:00
424|372||2018-01-04 02:14:00
426|341||2018-01-04 02:54:00
427|345||2018-01-04 02:56:00
431|349||2018-01-04 07:58:00
440|363||2018-01-09 06:27:00
446|322||2018-01-10 11:13:00
447|362||2018-01-11 03:04:00
450|378||2018-01-11 06:48:00
452|380||2018-01-11 07:19:00
453|365||2018-01-11 13:02:00
455|392||2018-01-13 04:26:00
456|330||2018-01-15 03:30:00
458|393||2018-01-15 12:27:00
461|302||2018-01-16 03:57:00
462|303||2018-01-16 08:19:00
466|397||2018-01-16 10:14:00
473|300||2018-01-17 08:41:00
474|293||2018-01-17 09:59:00
475|280||2018-01-18 04:02:00
478|317||2018-01-19 04:31:00
480|369||2018-01-19 08:26:00
482|379||2018-01-19 09:52:00
483|375||2018-01-19 09:57:00
486|335||2018-01-20 07:58:00
487|334||2018-01-20 08:10:00
488|316||2018-01-20 09:01:00
489|336||2018-01-21 02:03:00
493|283||2018-01-22 01:45:00
495|353||2018-01-22 02:11:00
497|359||2018-01-22 02:25:00
499|312||2018-01-22 03:43:00
505|286||2018-01-22 07:58:00
506|417||2018-01-23 04:20:00
510|331||2018-01-23 06:50:00
520|279||2018-01-25 10:13:00
520|278||2018-01-25 10:13:00
522|400||2018-01-26 02:47:00
523|354||2018-01-26 06:19:00
524|442||2018-01-26 06:21:00
525|332||2018-01-26 07:51:00
526|366||2018-01-26 08:37:00
531|384||2018-01-27 04:01:00
532|383||2018-01-27 04:21:00
535|450||2018-01-28 06:43:00
536|451||2018-01-28 07:02:00
538|338||2018-01-29 04:11:00
542|277||2018-01-30 04:15:00
545|323||2018-01-30 12:40:00
547|319||2018-01-31 07:26:00
548|443||2018-01-31 10:23:00
549|477||2018-01-31 10:43:00
552|296||2018-01-31 10:55:00
554|297||2018-02-01 03:31:00
556|495||2018-02-01 05:39:00
563|433||2018-02-02 05:58:00
565|346||2018-02-02 09:49:00
