1|2013|B|N||2015-11-02 17:55:00||N
2|2165|B|N||2017-09-21 14:13:00||N
4|3074|B|N||2015-11-02 17:55:00||N
5|3075|B|N||2015-11-02 17:56:00||N
6|3865|I|N||2015-11-02 16:54:00||N
7|4429|B|N||2015-11-02 17:55:00||N
8|4430|O|N||2015-11-02 17:55:00||N
9|5504|B|N||2017-12-11 03:32:00||N
