81|2043|395|40|2337|N|3||2017-10-13 10:42:00|||N|true
82|2045|195|48|2327|Y|6||2017-10-13 12:12:00|||N|true
83|2033|2|4|2327|Y|1||2017-10-13 12:12:00||82|N|true
84|2045|195|49|2337|Y|6||2017-10-16 02:24:00|||N|true
85|2033|2|2|2337|Y|1||2017-10-16 02:24:00||84|N|true
86|2043|395|48|2337|N|7||2017-10-16 02:31:00|||N|true
87|2032|2|2|2337|Y|1||2017-10-16 02:31:00||86|N|true
88|2045|195|50|2337|Y|6||2017-10-16 02:40:00|||N|true
89|2033|2|2|2337|Y|1||2017-10-16 02:38:00||88|N|true
90|2046|8|18|2337|Y|2||2017-10-16 02:41:00|||N|true
91|2043|395|49|2337|N|7||2017-10-16 02:54:00|||N|true
92|2032|2|2|2337|Y|1||2017-10-16 02:54:00||91|N|true
93|2045|195|51|2338|Y|6||2017-10-16 02:57:00|||N|true
94|2043|395|28|2340|N|3||2017-10-16 03:14:00|||N|true
95|2043|395|50|2338|N|7||2017-10-16 03:27:00|||N|true
96|2043|395|51|2337|N|3||2017-10-16 03:30:00|||N|true
97|2045|195|52|2327|Y|6||2017-10-16 06:11:00|||N|true
98|2033|2|4|2327|Y|1||2017-10-16 06:11:00||97|N|true
99|2045|195|53|2327|Y|6||2017-10-16 03:37:00|||N|true
100|2033|2|4|2327|Y|1||2017-10-16 03:36:00||99|N|true
101|2043|411|54|2340|N|3||2017-10-16 07:54:00|||N|true
102|2045|195|54|2327|Y|6||2017-10-21 10:11:00|||N|true
103|2033|2|4|2327|Y|1||2017-10-21 10:11:00||102|N|true
104|2045|195|55|2337|Y|6||2017-10-17 07:53:00|||N|true
105|2033|2|2|2337|Y|1||2017-10-17 07:53:00||104|N|true
106|2043|411|60|2337|N|3||2017-10-17 07:57:00|||N|true
107|2045|195|56|2337|Y|6||2017-10-17 08:00:00|||N|true
108|2033|2|2|2337|Y|1||2017-10-17 07:59:00||107|N|true
109|2046|8|19|2337|Y|2||2017-10-17 08:00:00|||N|true
110|2045|195|57|2337|Y|6||2017-10-17 08:43:00|||N|true
111|2033|2|2|2337|Y|1||2017-10-17 08:43:00||110|N|true
112|2043|411|61|2337|Y|3||2017-10-17 10:19:00|||N|true
113|2043|411|62|2337|N|3||2017-10-17 09:26:00|||N|true
114|2043|411|63|2337|N|3||2017-10-19 09:25:00|||N|true
115|2043|411|64|2337|N|3||2017-10-19 09:26:00|||N|true
116|2045|195|59|2337|Y|6||2017-10-20 02:58:00|||N|true
117|2033|2|2|2337|Y|1||2017-10-20 02:58:00||116|N|true
118|2045|195|61|2337|Y|6||2017-10-20 02:53:00|||N|true
119|2045|195|62|2337|Y|6||2017-10-25 10:23:00|||N|true
120|2033|2|2|2337|Y|1||2017-10-25 10:23:00||119|N|true
