2000|en|Y|Client Expense Administrator|||2011-04-01 11:32:00
2001|en|Y|Account Code Administator|||2013-05-09 09:35:00
2002|en|Y|Expense Type Administrator|||2013-05-09 09:36:00
2003|en|Y|Tax Administrator-Restricted|||2013-05-09 09:41:00
ACCT_AUDIT_MGR|en|Y|Expense Processor (Audit)|Can view but not update and delete, reports in Expense Processor.||2005-06-21 15:52:00
ACCT_CLERK|en|Y|Expense Processor|Can view and update reports in Expense Processor. Cannot delete.||2005-06-21 15:48:00
ACCT_MANAGER|en|Y|Expense Processor Manager|Can view, update, and delete reports in Expense Processor.||2005-06-21 15:48:00
AC_LISTNG_ADMIN|en|Y|App Center Listing Administrator|Can manage App Center listings.||2016-03-19 02:27:00
ATTN_ADMIN|en|Y|Attendee Administrator|Can view and update attendees.||2012-03-24 01:57:00
ATTN_ADMIN_RO|en|Y|Attendee Administrator (Read Only)|Can view attendees.||2012-03-24 01:57:00
AUTH_APPROVER|en|Y|Authorized Approver|Can approve, with a specified limit, specific expense reports.||2005-06-21 15:48:00
BDGT_APPROVER|en|Y|Budget Approver / Manager|Can approve, with a specified limit, specific budgets.||2018-05-02 22:07:00
BILLNG_ATTR|en|Y|Billing Attributes User|Can manage billing related settings for the entity.||2014-02-08 04:24:00
BI_ADMIN|en|Y|Consolidation Configuration Administrator|Can view and update settings for Consolidation Configuration.||2005-06-21 15:50:00
BUDGET_ADMIN|en|Y|Budget Administrator|Can create and update budget periods and assignments.||2012-09-15 02:11:00
BUDGET_OWNER|en|Y|Budget Owner|Can own a budget.||2016-10-15 01:39:00
BUDGET_VIEWER|en|Y|Budget Viewer|Can view budget information.||2016-10-15 01:39:00
CARD_ADMIN|en|Y|Expense Company Card Administrator|Can administer company cards for users, in addition to viewing the import logs.||2005-06-21 15:48:00
CASHADV_ADMIN|en|Y|Expense Cash Advance Administrator|Can issue, view, and cancel cash advances.||2005-06-21 15:48:00
CLIQBOOK_USER|en|Y|Cliqbook User|Can integrate with Cliqbook service||2006-09-28 21:11:00
CNQR_INVC|en|Y|Invoice Full User|Can access Invoice Processing only.  Does not have access to Concur Vendor Payment.||2011-01-22 03:48:00
CNQR_INVC_PILOT|en|Y|Invoice Pilot User|Can access both Invoice Processing and Concur Vendor Payment Classic.||2011-01-22 03:48:00
CNTRL_RECEIVING|en|Y|Central Receiver|Can add/update/delete receipts for purchase orders.||2017-07-30 00:30:00
COG_HIST_DATA|en|Y|Cognos Hist Data Access|Cognos Hist Data Access.||2014-12-13 03:14:00
CONCUR_AUDITOR|en|Y|Expense Processor(Expense Report Auditing)|Can audit reports from within Expense Report Auditing Service.||2010-12-18 04:20:00
CONFIG_EXPORT|en|Y|Configuration Export Administrator|Can export and download Expense configuration.||2020-05-12 22:54:00
CO_APPROVER|en|Y|Cost Object Approver|Can approve, with a specified limit or level, specific cost objects.||2009-01-16 21:35:00
CR_PROCESSOR|en|Y|Central Reconciliation Processor|Can process (approve) Central Reconciliations.||2011-02-26 03:38:00
DASHBOARD_USER|en|Y|Dashboard User|Can perform Expense control and compliance reporting for your company||2010-03-19 20:08:00
DATA_RTN_ADMIN|en|Y|Data Retention Administrator|Can manage Data Retention.||2018-01-25 23:10:00
DESKTOP_ADMIN|en|Y|Company Info Administrator|Can view and update settings for the Company Info section of the My Concur page.||2011-07-23 01:37:00
EFT_AUDITOR|en|Y|Reimbursement Auditor|Can view Reimbursement Auditor.||2008-05-14 19:51:00
EFT_MANAGER|en|Y|Reimbursement Manager|Can view and edit Reimbursement Manager.||2008-05-14 19:51:00
EMPLOYEE_ADMIN|en|Y|Employee Administrator|Can create, view, update, and remove employees, expense and payment preferences, and roles for Expense.||2010-12-18 04:20:00
EMPLOYEE_MAINT|en|Y|Employee Maintenance|Can view and update employees, expense and payment preferences for Concur Expense.||2011-07-23 01:37:00
EMP_ADMIN_RO|en|Y|Employee Administrator (Read Only)|Can view employees, expense and payment preferences.||2012-02-18 03:13:00
EMP_ADM_BI_PER|en|Y|Employee Admin Permission on Reporting Hierarchy|Can grant Reporting Hierarchy Nodes permission to users in the Employee Admin.||2005-06-21 15:51:00
EMP_ADM_EXP_PER|en|Y|Employee Admin Permission on Expense Hierarchy|Can grant Expense Hierarchy Nodes permission to users in the Employee Admin.||2005-06-21 15:51:00
EMP_ADM_PMT_PER|en|Y|Employee Admin Permission on Invoice Hierarchy|Can grant Invoice Hierarchy Nodes permission to users in the Employee Admin.||2010-05-15 05:55:00
EXP_ADMIN|en|Y|Expense Configuration Administrator|Can create, edit, and delete expense configuration data for Expense Reports.||2005-06-21 15:51:00
EXP_ADMIN_RO|en|Y|Expense Configuration Administrator (Restricted)|Can view expense configuration data for Expense Reports.||2005-06-21 15:51:00
EXP_IM|en|Y|Integration Manager|Can view,update and delete in Integration Manager.||2023-09-22 07:03:00
EXP_IM_ADV|en|Y|Integration Manager Advanced|Can view,update,delete,retry,bypass in Integration Manager.||2023-10-05 22:53:00
EXP_IM_AUDIT|en|Y|Integration Manager View Only|Can view in Integration Manager.||2023-09-22 07:03:00
EXP_PROXY_LOGON|en|Y|Expense Proxy Logon|Can log on as an expense proxy user for other employees in that group.||2005-06-21 15:48:00
EXTERNAL_SYSTEM|en|Y|External System|||2020-11-04 00:57:00
EXTRACT_ADMIN|en|Y|Extract Administrator|Can access the File Export Configuration tool.||2013-01-19 03:40:00
FBT_ADMIN|en|Y|Fringe Benefits Tax Administrator|Can view and edit FBT Configurations.||2007-03-16 18:01:00
