1375|VEND|N|Aerocondor|Aerocondor||2011-02-14 11:54:00|N
1376|VEND|N|Aeroflot|Aeroflot||2011-02-14 11:54:00|N
1377|VEND|N|Aerogal|Aerogal||2011-02-14 11:54:00|N
1378|VEND|N|Aerogaviota|Aerogaviota||2011-02-14 11:54:00|N
1379|VEND|N|Aerogryf|Aerogryf||2011-02-14 11:54:00|N
1380|VEND|N|Aeroline|Aeroline||2011-02-14 11:54:00|N
1381|VEND|N|Aerol°nea de Antioquia|Aerol°nea de Antioquia||2011-02-14 11:54:00|N
1382|VEND|N|Aerol°nea Principal|Aerol°nea Principal||2011-02-14 11:54:00|N
1383|VEND|N|Aerol°neas Argentinas|Aerol°neas Argentinas||2011-02-14 11:54:00|N
1384|VEND|N|Aerol°neas Mas|Aerol°neas Mas||2011-02-14 11:54:00|N
1385|VEND|N|Aerol°neas Sosa|Aerol°neas Sosa||2011-02-14 11:54:00|N
1386|VEND|N|Aerolitoral|Aerolitoral||2011-02-14 11:54:00|N
1387|VEND|N|Aeromar|Aeromar||2011-02-14 11:54:00|N
1388|VEND|N|Aeromas|Aeromas||2011-02-14 11:54:00|N
1389|VEND|N|AeromÇxico|AeromÇxico||2011-02-14 11:54:00|N
1390|VEND|N|AeromÇxico Connect|AeromÇxico Connect||2011-02-14 11:54:00|N
1391|VEND|N|Aeromist-Kharkiv|Aeromist-Kharkiv||2011-02-14 11:54:00|N
1392|VEND|N|Aeronova|Aeronova||2011-02-14 11:54:00|N
1393|VEND|N|Aeropelican Air Services|Aeropelican Air Services||2011-02-14 11:54:00|N
1394|VEND|N|Aeroperlas|Aeroperlas||2011-02-14 11:54:00|N
1395|VEND|N|Aeropostal Alas de Venezuela|Aeropostal Alas de Venezuela||2011-02-14 11:54:00|N
1396|VEND|N|AeroRep£blica|AeroRep£blica||2011-02-14 11:54:00|N
1397|VEND|N|Aerosur|Aerosur||2011-02-14 11:54:00|N
1434|VEND|N|Air China|Air China||2011-02-14 11:54:00|N
1435|VEND|N|Air Choice One|Air Choice One||2011-02-14 11:54:00|N
1436|VEND|N|Air Class L°neas AÇreas|Air Class L°neas AÇreas||2011-02-14 11:54:00|N
1437|VEND|N|Air Contractors|Air Contractors||2011-02-14 11:54:00|N
1438|VEND|N|Air Corridor|Air Corridor||2011-02-14 11:54:00|N
1439|VEND|N|Air Creebec|Air Creebec||2011-02-14 11:54:00|N
1440|VEND|N|Air Culebra|Air Culebra||2011-02-14 11:54:00|N
1441|VEND|N|Air Do|Air Do||2011-02-14 11:54:00|N
1442|VEND|N|Air Dolomiti|Air Dolomiti||2011-02-14 11:54:00|N
1443|VEND|N|Air East|Air East||2011-02-14 11:54:00|N
1444|VEND|N|Air Este|Air Este||2011-02-14 11:54:00|N
1445|VEND|N|Air Europa|Air Europa||2011-02-14 11:54:00|N
1446|VEND|N|Air Europe|Air Europe||2011-02-14 11:54:00|N
1447|VEND|N|Air Finland|Air Finland||2011-02-14 11:54:00|N
1448|VEND|N|Air Freedom|Air Freedom||2011-02-14 11:54:00|N
1449|VEND|N|Air Gabon|Air Gabon||2011-02-14 11:54:00|N
1450|VEND|N|Air Gemini|Air Gemini||2011-02-14 11:54:00|N
1451|VEND|N|Air Georgian|Air Georgian||2011-02-14 11:54:00|N
1452|VEND|N|Air Glaciers|Air Glaciers||2011-02-14 11:54:00|N
1453|VEND|N|Air Granada|Air Granada||2011-02-14 11:54:00|N
1454|VEND|N|Air Greenland|Air Greenland||2011-02-14 11:54:00|N
1455|VEND|N|Air Guinee|Air Guinee||2011-02-14 11:54:00|N
1456|VEND|N|Air Guinee Express|Air Guinee Express||2011-02-14 11:54:00|N
1457|VEND|N|Air Guyane|Air Guyane||2011-02-14 11:54:00|N
1458|VEND|N|Air Hokkaido|Air Hokkaido||2011-02-14 11:54:00|N
1459|VEND|N|Air Iceland|Air Iceland||2011-02-14 11:54:00|N
1460|VEND|N|Air India|Air India||2011-02-14 11:54:00|N
1461|VEND|N|Air India Regional|Air India Regional||2011-02-14 11:54:00|N
1462|VEND|N|Air Inuit|Air Inuit||2011-02-14 11:54:00|N
1463|VEND|N|Air Italy|Air Italy||2011-02-14 11:54:00|N
1464|VEND|N|Air Italy Polska|Air Italy Polska||2011-02-14 11:54:00|N
1465|VEND|N|Air Ivoire|Air Ivoire||2011-02-14 11:54:00|N
1466|VEND|N|Air Japan|Air Japan||2011-02-14 11:54:00|N
1467|VEND|N|Air Katafanga|Air Katafanga||2011-02-14 11:54:00|N
1468|VEND|N|Air Kharkov|Air Kharkov||2011-02-14 11:54:00|N
1469|VEND|N|Air Kiribati|Air Kiribati||2011-02-14 11:54:00|N
1470|VEND|N|Air Kokshetau|Air Kokshetau||2011-02-14 11:54:00|N
1508|VEND|N|Air Prishtina|Air Prishtina||2011-02-14 11:54:00|N
1509|VEND|N|Air Pullmantur|Air Pullmantur||2011-02-14 11:54:00|N
1510|VEND|N|Air Rarotonga|Air Rarotonga||2011-02-14 11:54:00|N
1511|VEND|N|Air Regional|Air Regional||2011-02-14 11:54:00|N
1512|VEND|N|Air Rum|Air Rum||2011-02-14 11:54:00|N
1513|VEND|N|Air Saguenay|Air Saguenay||2011-02-14 11:54:00|N
1514|VEND|N|Air Saint-Pierre|Air Saint-Pierre||2011-02-14 11:54:00|N
1515|VEND|N|Air Sal|Air Sal||2011-02-14 11:54:00|N
1516|VEND|N|Air Satellite|Air Satellite||2011-02-14 11:54:00|N
1517|VEND|N|Air Service Gabon|Air Service Gabon||2011-02-14 11:54:00|N
1518|VEND|N|Air Seychelles|Air Seychelles||2011-02-14 11:54:00|N
1519|VEND|N|Air Sinai|Air Sinai||2011-02-14 11:54:00|N
1520|VEND|N|Air Southwest|Air Southwest||2011-02-14 11:54:00|N
1521|VEND|N|Air St. Thomas|Air St. Thomas||2011-02-14 11:54:00|N
1522|VEND|N|Air Sunshine|Air Sunshine||2011-02-14 11:54:00|N
1523|VEND|N|Air Sylhet|Air Sylhet||2011-02-14 11:54:00|N
1524|VEND|N|Air Tahiti|Air Tahiti||2011-02-14 11:54:00|N
1525|VEND|N|Air Tahiti Nui|Air Tahiti Nui||2011-02-14 11:54:00|N
1526|VEND|N|Air Tanzania|Air Tanzania||2011-02-14 11:54:00|N
1527|VEND|N|Air Tindi|Air Tindi||2011-02-14 11:54:00|N
1528|VEND|N|Air Transat|Air Transat||2011-02-14 11:54:00|N
1529|VEND|N|Air Turks and Caicos|Air Turks and Caicos||2011-02-14 11:54:00|N
1530|VEND|N|Air Universal|Air Universal||2011-02-14 11:54:00|N
1531|VEND|N|Air Universal Cyprus|Air Universal Cyprus||2011-02-14 11:54:00|N
1532|VEND|N|Air Urga|Air Urga||2011-02-14 11:54:00|N
1533|VEND|N|Air VallÇe|Air VallÇe||2011-02-14 11:54:00|N
1534|VEND|N|Air Vanuatu|Air Vanuatu||2011-02-14 11:54:00|N
1535|VEND|N|Air VIA|Air VIA||2011-02-14 11:54:00|N
1536|VEND|N|Air Whitsunday|Air Whitsunday||2011-02-14 11:54:00|N
1537|VEND|N|Air Wisconsin|Air Wisconsin||2011-02-14 11:54:00|N
1538|VEND|N|Air Zimbabwe|Air Zimbabwe||2011-02-14 11:54:00|N
1539|VEND|N|AirAsia X|AirAsia X||2011-02-14 11:54:00|N
1540|VEND|N|AirBaltic|AirBaltic||2011-02-14 11:54:00|N
1541|VEND|N|Airblue|Airblue||2011-02-14 11:54:00|N
1542|VEND|N|Aircalin|Aircalin||2011-02-14 11:54:00|N
1543|VEND|N|Aircruising Australia|Aircruising Australia||2011-02-14 11:54:00|N
1544|VEND|N|Aires Colombia|Aires Colombia||2011-02-14 11:54:00|N
1545|VEND|N|Airfast Indonesia|Airfast Indonesia||2011-02-14 11:54:00|N
1546|VEND|N|Air-India Express|Air-India Express||2011-02-14 11:54:00|N
1547|VEND|N|Airkenya Express|Airkenya Express||2011-02-14 11:54:00|N
1548|VEND|N|Airlinair|Airlinair||2011-02-14 11:54:00|N
1549|VEND|N|Airlines of Tasmania|Airlines of Tasmania||2011-02-14 11:54:00|N
1550|VEND|N|Airlines PNG|Airlines PNG||2011-02-14 11:54:00|N
1551|VEND|N|Airlink Swaziland|Airlink Swaziland||2011-02-14 11:54:00|N
1552|VEND|N|Airmark Indonesia|Airmark Indonesia||2011-02-14 11:54:00|N
1553|VEND|N|Airnorth|Airnorth||2011-02-14 11:54:00|N
1554|VEND|N|Airphil Express|Airphil Express||2011-02-14 11:54:00|N
1555|VEND|N|Air-taxi europe|Air-taxi europe||2011-02-14 11:54:00|N
1556|VEND|N|AirTran Airways|AirTran Airways||2011-02-14 11:54:00|N
1557|VEND|N|Airtransse|Airtransse||2011-02-14 11:54:00|N
1558|VEND|N|Airwaves Airlink|Airwaves Airlink||2011-02-14 11:54:00|N
1559|VEND|N|Aklak Air|Aklak Air||2011-02-14 11:54:00|N
1560|VEND|N|Alaire|Alaire||2011-02-14 11:54:00|N
1561|VEND|N|Alas Chiricanas|Alas Chiricanas||2011-02-14 11:54:00|N
1562|VEND|N|Alaska Central Express|Alaska Central Express||2011-02-14 11:54:00|N
1563|VEND|N|Albanian Airlines|Albanian Airlines||2011-02-14 11:54:00|N
1564|VEND|N|Alberta Citylink|Alberta Citylink||2011-02-14 11:54:00|N
1565|VEND|N|Alexandria Airlines|Alexandria Airlines||2011-02-14 11:54:00|N
1566|VEND|N|Alidaunia|Alidaunia||2011-02-14 11:54:00|N
1567|VEND|N|Alitalia Express|Alitalia Express||2011-02-14 11:54:00|N
1568|VEND|N|Alkan Air|Alkan Air||2011-02-14 11:54:00|N
1569|VEND|N|All Nippon Airways|All Nippon Airways||2011-02-14 11:54:00|N
1570|VEND|N|Allegiant Air|Allegiant Air||2011-02-14 11:54:00|N
1571|VEND|N|Alliance Airlines|Alliance Airlines||2011-02-14 11:54:00|N
1572|VEND|N|Al-Naser Airlines|Al-Naser Airlines||2011-02-14 11:54:00|N
1573|VEND|N|Alrosa-Avia|Alrosa-Avia||2011-02-14 11:54:00|N
1574|VEND|N|Alta Flights|Alta Flights||2011-02-14 11:54:00|N
1575|VEND|N|Alto Airlines|Alto Airlines||2011-02-14 11:54:00|N
1576|VEND|N|Amakusa Airlines|Amakusa Airlines||2011-02-14 11:54:00|N
1577|VEND|N|Amaszonas|Amaszonas||2011-02-14 11:54:00|N
1578|VEND|N|AMC Airlines|AMC Airlines||2011-02-14 11:54:00|N
1579|VEND|N|AmÇrica Air Linhas AÇreas|AmÇrica Air Linhas AÇreas||2011-02-14 11:54:00|N
1580|VEND|N|American Eagle Airlines|American Eagle Airlines||2011-02-14 11:54:00|N
1581|VEND|N|AmericanConnection|AmericanConnection||2011-02-14 11:54:00|N
1582|VEND|N|Ameristar Jet Charter|Ameristar Jet Charter||2011-02-14 11:54:00|N
1583|VEND|N|Anadolu Jet|Anadolu Jet||2011-02-14 11:54:00|N
1584|VEND|N|Andes L°neas AÇreas|Andes L°neas AÇreas||2011-02-14 11:54:00|N
1585|VEND|N|Angara Airlines|Angara Airlines||2011-02-14 11:54:00|N
1586|VEND|N|Anguilla Air Services|Anguilla Air Services||2011-02-14 11:54:00|N
1587|VEND|N|Anikay Air|Anikay Air||2011-02-14 11:54:00|N
1588|VEND|N|Antonov Airlines|Antonov Airlines||2011-02-14 11:54:00|N
1589|VEND|N|APSA - Aeroexpreso Bogota|APSA - Aeroexpreso Bogota||2011-02-14 11:54:00|N
1590|VEND|N|Arctic Circle Air Service|Arctic Circle Air Service||2011-02-14 11:54:00|N
1591|VEND|N|Aria Air|Aria Air||2011-02-14 11:54:00|N
1592|VEND|N|Aria Tour|Aria Tour||2011-02-14 11:54:00|N
1593|VEND|N|Ariana Afghan Airlines|Ariana Afghan Airlines||2011-02-14 11:54:00|N
1594|VEND|N|Arik Air|Arik Air||2011-02-14 11:54:00|N
1595|VEND|N|Arkefly|Arkefly||2011-02-14 11:54:00|N
1596|VEND|N|Arkia Israel Airlines|Arkia Israel Airlines||2011-02-14 11:54:00|N
1597|VEND|N|Armavia|Armavia||2011-02-14 11:54:00|N
1598|VEND|N|ARP 410 Airlines|ARP 410 Airlines||2011-02-14 11:54:00|N
