2052|N|Y|Y|N|2|BUDGET_REQ|NONE|NONE|NEXT-STEP|10|N||||N|N|RQSTAT|RQSTAT|RQPEND||||2019-04-05 23:15:00|N|N|N||
2053|N|Y|Y|N|2|BUDGET_PURCH|NONE|NONE|NEXT-STEP|10|N||||N|N|PRSTAT|PRSDBK|PRPEND||||2019-04-05 23:15:00|N|N|N||
2054|N|N|Y|N|853|REPORT|NONE|NONE|NONE||Y|LIMIT|1|2|N|N|000015|000015|ERPEND||||2022-02-21 01:50:00|N|N|N||
2055|N|N|Y|N|509|REQUEST|NONE|NONE|NONE||Y|LIMIT|||Y|Y|000006|000006|000005||||2022-07-21 02:38:00|N|N|N||
2056|N|N|Y|N|22|REPORT|NONE|NONE|NONE||Y||1|2|N|N|000015|000015|ERPEND||||2019-03-29 03:03:00|N|N|N||
2057|N|N|Y|N|15|REQUEST|NONE|NONE|NONE||Y||||Y|Y|000006|000006|000005||||2019-02-25 01:16:00|N|N|N||
2058|N|N|Y|N|25|REQUEST|NONE|NONE|NONE||Y|LIMIT|||Y|Y|000006|000006|000005||||2019-03-21 02:50:00|N|N|N||
2059|N|N|Y|N|17|REPORT|NONE|NONE|NONE||Y|LIMIT|1|2|N|N|000015|000015|ERPEND||||2019-03-22 06:36:00|N|N|N||
2060|N|N|Y|N|9|REQUEST|NONE|NONE|NONE||Y|LIMIT|||Y|Y|000006|000006|000005||||2021-08-16 00:43:00|N|N|N||
2061|N|N|Y|N|15|REPORT|NONE|NONE|NONE||Y|LIMIT|1|2|N|N|000015|000015|ERPEND||||2021-08-16 01:05:00|N|N|N||
2062|N|N|Y|N|62|REPORT|NONE|NONE|NONE||Y|LIMIT|1|2|N|N|000015|000015|ERPEND||||2022-03-03 08:33:00|N|N|N||
2063|N|N|Y|N|720|REPORT|NONE|NONE|NONE||Y|LIMIT|1|2|N|N|000015|000015|ERPEND||||2023-08-25 00:56:00|N|N|N||
2064|N|N|Y|N|650|REQUEST|NONE|NONE|NONE||Y|LIMIT|||Y|Y|000006|000006|000005||||2023-07-05 08:17:00|N|N|N||
2065|N|N|Y|N|36|REPORT|NONE|NONE|NONE||Y|LIMIT|1|2|N|N|000015|000015|ERPEND||||2022-04-02 01:15:00|N|N|N||
2066|N|N|Y|N|13|REQUEST|NONE|NONE|NONE||Y|LIMIT|||Y|Y|000006|000006|000005||||2022-08-26 05:21:00|N|N|N||
2067|N|N|Y|N|20|REPORT|NONE|NONE|NONE||Y|LIMIT|1|2|N|N|000015|000015|ERPEND||||2023-05-22 01:55:00|N|N|N||
2068|N|N|Y|N|13|REQUEST|NONE|NONE|NONE||Y|LIMIT|||Y|Y|000006|000006|000005||||2023-05-22 05:43:00|N|N|N||
2069|N|N|Y|N|76|REQUEST|NONE|NONE|NONE||Y|LIMIT|||Y|Y|000006|000006|000005||||2023-08-08 06:36:00|N|N|N||
